#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,PORTAL,TIER-LEVEL,COUNT
3129,Cobi Campbell,TROY,0.556,0.542,156.4,1.4,5.4,3.5,9.5,8.5,2.1,0,16.1,0.7,1.2,116.8,107.5,9.3,149.5,11.6,29,27.8,9.1,3.1,7.8,0.4,2.2,5.6,0.395,0.7,0.9,0.769,0.3,1.2,1.6,1.4,1,0,0.8,1.5,1.75,11.5,71.8,76.9,6-2,G,Sr,Sun Belt,25-26,26,GUARD,0,Mid-Major,FALSE
3130,"Eric Morgan, Jr.",STPC,0.502,0.471,152.8,2.2,5.6,3.8,12.3,7.8,2.1,0,19.7,0.8,1.1,111.9,110.4,1.5,40.5,11.6,23,11.4,4.1,1.4,3.7,0.372,0.7,2,0.378,0.6,0.8,0.778,0.2,0.5,0.7,0.7,0.4,0,0.3,1.1,2.33,21.6,54.1,55.1,6-4,G,Sr,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
3131,Christian Winborne,NICH,0.517,0.503,140,3.3,6.1,4.6,9,9.5,3.1,0,18.7,-0.4,1.1,105.4,115.1,-9.8,103.3,11.6,26,23.1,7.9,2.7,7.2,0.371,1.9,5.4,0.35,0.7,1.1,0.679,0.6,1,1.6,1.1,1.2,0,0.8,2,1.38,15.3,75.0,73.4,6-3,G,Sr,SLC,25-26,26,GUARD,0,Low-Major,FALSE
3132,Sam Silverstein,UIC,0.48,0.475,105.2,9.4,17,13.2,14.3,25.5,3.3,1,9.7,0.8,1.1,104.7,99.7,5,173.4,11.6,30,21.8,3,1.2,2.6,0.468,0,0.3,0.1,0.5,1,0.484,1.6,3,4.6,1.9,1.2,0.2,1.1,1.8,1.73,38.5,11.5,31.2,6-6,GF,Sr,MVC,25-26,26,WING,0,High-Major,FALSE
3133,Spence Sims,GWU,0.615,0.601,172.9,1.2,8.6,4.7,7.6,17.1,1,0.2,19.6,-4.1,1.3,105.6,125.6,-20,116.8,11.6,28,24.6,9.8,3.5,7.6,0.462,2.1,4.9,0.434,0.7,0.9,0.833,0.3,1.7,1.9,0.9,0.4,0,1.6,1.8,0.56,11.8,64.5,76.1,6-1,G,Fr,BSC,25-26,26,GUARD,0,Low-Major,FALSE
3134,Sebastian Mack,MZZOU,0.475,0.445,135.7,2.2,7.4,4.8,6.8,12.5,3.1,0.4,25.4,-4,1.1,97.4,107.8,-10.5,41.4,11.5,18,16.3,7,2.7,6.6,0.407,0.5,1.8,0.273,1.2,1.7,0.677,0.3,1,1.3,0.6,0.9,0.1,1.1,1.3,0.55,25.8,27.3,45.9,6-3,G,Jr,SEC,25-26,26,GUARD,0,Power 5,FALSE
3135,Steven Clay,USI,0.544,0.514,164.9,6.4,9.5,7.9,7,10.4,1.4,1.6,14.9,-0.9,1.2,114.6,107.7,6.9,80.4,11.5,29,14.3,4.2,1.4,3.6,0.39,0.9,2.8,0.325,0.5,0.5,0.933,0.8,1.1,2,0.5,0.3,0.2,0.4,1.7,1.25,13.9,77.8,63.6,6-4,F,Sr,OVC,25-26,26,FORWARD,0,Low-Major,FALSE
3136,Jaxon Olvera,LA,0.475,0.456,142.4,4.4,15.2,9.5,17.1,16.3,1.3,0.3,31,-5.1,1,91,111.2,-20.3,141.9,11.5,30,28.6,12.7,4.8,12.4,0.386,1.7,5,0.349,1.4,2,0.689,1,2.9,3.9,1.9,0.6,0.1,2.6,2.1,0.73,16.1,40.3,64.9,6-5,F,So,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
3137,Quron Elliott,MAN,0.528,0.5,150.1,2.4,10.5,6.4,15.1,11.7,0.6,0,18.2,1,1.2,108.2,121.1,-13,61,11.5,26,12.1,4,1.5,3.3,0.46,0.3,0.8,0.333,0.7,0.9,0.708,0.2,1,1.3,0.9,0.1,0,0.5,0.7,1.80,27.3,24.2,44.2,6-2,G,Fr,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
3138,Cam Amboree,SUBR,0.491,0.444,148.8,1.6,10.8,6.1,21.6,20,3.8,0,20.2,0.2,1.1,97.7,106.6,-8.8,119.9,11.5,21,25.6,8.6,2.7,7.7,0.352,1.4,4.1,0.349,1.8,2.2,0.787,0.3,2.2,2.5,3.4,1.8,0,2.2,2.5,1.55,28.6,53.2,65.1,6-3,G,Sr,SWC,25-26,26,GUARD,0,Low-Major,FALSE
3139,Zion Cruz,RIDER,0.445,0.427,137.3,2.4,9.2,5.6,14.6,8.2,1.5,0.6,25.3,0.1,0.9,97.7,119.4,-21.7,130.8,11.5,25,32.6,13.2,5.2,14,0.374,1.5,4.9,0.303,1.3,1.8,0.696,0.7,2.3,3,2,0.8,0.2,1.3,1.8,1.54,12.9,35.0,61.1,6-5,G,Sr,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
3140,Brady Loughlin,BRWN,0.602,0.592,152.1,1.1,12.2,6.7,7,14.5,0.8,1.6,17.8,-2.7,1.3,108.3,100.8,7.6,43.8,11.5,12,18.3,6.5,2.2,5,0.433,1.6,4.1,0.388,0.6,0.8,0.7,0.2,1.8,2,0.7,0.3,0.3,0.9,1.2,0.78,16.0,82.0,72.2,6-5,GF,Fr,IVY,25-26,26,WING,0,Mid-Major,FALSE
3141,Camp Wagner,INDST,0.507,0.475,160.4,3.4,15.6,9.6,11.8,13.6,1.5,0.8,23.6,-2.1,1.1,97.3,106.6,-9.4,184.6,11.5,30,28.4,11.4,3.8,10.5,0.362,2.4,7.2,0.327,1.4,1.6,0.915,0.7,3.6,4.3,1.8,0.8,0.2,1.8,2.4,1.00,15.2,68.6,82.9,6-6,G,Jr,MVC,25-26,26,GUARD,0,High-Major,FALSE
3142,R.J. Keene II,BOISE,0.493,0.492,122,8.2,20.7,14.6,16,15,2,2,7.3,4.3,1,126.6,103.7,22.9,159.5,11.5,27,21,2.5,0.9,2.4,0.379,0.6,1.6,0.341,0.1,0.1,0.5,1.2,3.3,4.5,2,0.7,0.4,0.4,1.9,5.00,4.2,66.7,49.2,6-7,F,Sr,MWC,25-26,26,FORWARD,0,High-Major,FALSE
3143,Shamarrie Hugie,MARSH,0.551,0.532,146,6.8,16.4,11.8,6.1,18.6,2.5,1.3,16.8,-3.8,1.3,103.8,108.2,-4.4,58.5,11.5,24,11,3.4,1.2,2.6,0.46,0.4,1,0.375,0.6,1,0.625,0.6,1.5,2.1,0.4,0.5,0.1,0.7,1.4,0.57,38.5,38.5,49.5,6-6,F,Jr,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
3144,Cole Bowser,FRMN,0.57,0.533,162,10.2,20.4,15.8,5.5,19.4,1.2,1.1,12.5,-2.6,1.3,112.5,101.4,11.1,86.8,11.5,14,23.9,5.2,1.9,3.9,0.473,0.6,2.1,0.31,0.9,1,0.857,1.6,4.1,5.6,0.7,0.5,0.2,1.1,2.4,0.64,25.6,53.8,57.4,6-6,SF,Fr,SoCon,25-26,26,WING,0,Low-Major,FALSE
3145,C.J. Happy,PRIN,0.475,0.482,107.2,5.5,12.5,8.9,19.9,15.2,1.7,2.1,24.7,-1.4,1,94.8,110.5,-15.8,87.9,11.5,25,18.4,6.8,2.7,6.7,0.407,1,3.3,0.305,0.4,1,0.36,0.8,1.8,2.6,1.6,0.5,0.3,1.3,2.3,1.23,14.9,49.3,53.2,6-9,FC,So,IVY,25-26,26,FORWARD,0,Mid-Major,FALSE
3146,Ariik Mawien,NOCOL,0.502,0.5,118.3,4.8,19.2,12.4,7.9,15,1.1,2.1,21.4,-3.1,1.1,96.3,106.4,-10,57.3,11.5,27,9.3,3.4,1.4,3.1,0.446,0.3,1.4,0.237,0.3,0.6,0.5,0.3,1.5,1.8,0.4,0.2,0.2,0.6,0.8,0.67,19.4,45.2,44.2,6-4,G,So,BSKY,25-26,26,GUARD,0,Low-Major,FALSE
3147,Braden Pierce,VILL,0.662,0.667,126.7,7.2,11.6,9.4,13,31.5,1.9,6.7,8.6,0,1.5,116.9,103.9,13,36.4,11.5,24,6.4,1,0.4,0.6,0.667,0,0,0,0.1,0.2,0.6,0.4,0.6,1,0.5,0.2,0.4,0.3,0.9,1.67,33.3,0.0,32.5,7-0,C,So,Big East,25-26,26,BIG,0,Power 5,FALSE
3148,C.J. Evans,UMKC,0.479,0.443,134.5,2,8.3,5,25.4,19.6,2.7,0.1,24,-1.5,1.1,92,116,-24,161.3,11.5,27,30.4,11.6,4.5,10.6,0.425,0.4,1.7,0.222,2.2,3.2,0.698,0.5,2,2.6,3.7,1.5,0,3,1.7,1.23,30.2,16.0,43.2,5-11,G,Jr,Summit,25-26,26,GUARD,0,Low-Major,FALSE
3149,"Chansey Willis, Jr.",MINN,0.445,0.436,104.7,1.4,12.7,7.1,24.3,23.3,5.4,1.2,18.2,0.2,1.1,88.7,92,-3.3,43.8,11.5,7,26.6,6.3,2.3,5.6,0.41,0.3,1.6,0.182,1.4,3.1,0.455,0.3,2.7,3,3.3,2.4,0.3,2.1,1.7,1.57,55.4,28.6,42.5,6-2,G,Sr,B10,25-26,26,GUARD,0,Power 5,FALSE
3150,Micah Davis,IUI,0.505,0.49,139.6,4,6.2,5,17.6,15.4,2.6,0.4,19.7,1,1.1,102,117.5,-15.6,168.8,11.5,29,25.2,9.2,3.3,8.4,0.392,1.7,5.2,0.32,0.9,1.2,0.722,0.9,1.2,2.1,3,1.3,0.1,1.7,2.3,1.76,14.3,61.9,69.6,6-2,PG,So,Horizon,25-26,26,GUARD,0,Low-Major,FALSE
3151,Lachlan Brewer,IDHST,0.571,0.541,165.4,5.7,10.6,8.1,7.6,14.8,1.1,1,14.8,-1.5,1.2,115.3,116.9,-1.6,170.4,11.5,29,30.6,8.4,3.1,6.8,0.457,1.1,3.7,0.311,1.1,1.2,0.886,1.3,2.3,3.6,1.2,0.6,0.3,1.3,1.6,0.92,17.6,54.4,65.0,6-6,F,So,BSKY,25-26,26,FORWARD,0,Low-Major,FALSE
3152,Jackson McAndrew,CREI,0.424,0.414,109.6,8.1,16.4,12.2,4,3,2.1,1.1,19.1,0.4,0.9,110.3,97.5,12.7,19,11.5,4,20.5,6.8,2.3,7.3,0.31,1.5,5.3,0.286,0.8,1.5,0.5,1.5,3,4.5,0.5,0.8,0.3,0.3,2,1.67,20.5,72.6,66.4,6-10,F,So,Big East,25-26,26,FORWARD,0,Power 5,FALSE
3153,Ben Tweedy,COLGT,0.559,0.526,149.6,2.7,9,6,14.2,15,1,0.1,17,0.8,1.3,111.2,112.2,-1,162,11.5,29,28.9,8.8,2.9,6.6,0.44,1.1,3.2,0.359,1.8,2.6,0.697,0.6,2.1,2.7,2.4,0.5,0,1.4,2,1.71,39.4,48.5,62.7,6-2,G,So,Patriot,25-26,26,GUARD,0,Low-Major,FALSE
3154,"Michael Harper, Jr.",JAC,0.404,0.424,82.2,7.4,10.7,9,16.6,5.6,1.7,0,27.1,2.4,0.9,96.4,109.2,-12.8,17.3,11.5,13,7.7,3.2,1.4,3.5,0.391,0.2,1,0.231,0.2,0.8,0.2,0.5,0.6,1.1,0.6,0.2,0,0.2,0.8,3.00,22.9,28.6,33.5,6-3,G,Fr,A-SUN,25-26,26,GUARD,0,Low-Major,FALSE
3155,Tarique Foster,ALBNY,0.518,0.505,140.9,2.5,12.4,7.3,7.1,9.9,2.1,2.6,17.2,-0.8,1.1,105.8,112.4,-6.6,70.6,11.5,18,20.6,6.3,2.2,5.7,0.379,1.4,4.3,0.338,0.5,0.7,0.692,0.4,1.8,2.2,0.8,0.7,0.4,0.7,1.7,1.14,12.3,75.4,67.5,6-8,F,Jr,AEC,25-26,26,FORWARD,0,Low-Major,FALSE
3156,Trent Sisley,IU,0.502,0.49,124.4,8.1,20,14.4,4.8,8.2,0.5,0.6,18.7,-1.2,1.2,106.5,106.9,-0.4,85.1,11.5,28,13.7,4.4,1.6,3.8,0.429,0.5,1.7,0.277,0.8,1.4,0.538,0.8,2.1,2.9,0.4,0.1,0.1,0.4,1.2,1.00,36.8,44.7,48.8,6-8,F,Fr,B10,25-26,26,FORWARD,0,Power 5,FALSE
3157,Alexandre Huguet Carrasco,ULM,0.454,0.464,99.3,11.8,18.4,15,5.2,8.9,1.4,0,14.3,-0.8,1,101.9,114.1,-12.2,30.8,11.5,16,7.3,1.8,0.7,1.8,0.393,0.3,0.9,0.267,0.1,0.4,0.333,0.8,1.1,1.9,0.2,0.2,0,0.2,0.3,1.00,22.2,50.0,40.1,6-7,F,So,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
3158,Luca Ace-Nasteski,HAR,0.592,0.462,136.2,6.1,15.3,10.9,9.7,14.5,1.3,0,12.4,0.4,1.6,124.4,105.6,18.8,18.3,11.5,17,5.5,1.2,0.4,0.8,0.462,0,0,0,0.5,0.6,0.9,0.2,0.6,0.9,0.3,0.1,0,0.2,0.6,1.50,75.0,0.0,37.2,6-10,C,Jr,IVY,25-26,26,BIG,0,Mid-Major,FALSE
3159,Jonathan Levy,PEPP,0.546,0.508,151.4,6.8,18.7,12.6,15.9,23.1,2,0.9,15.4,-1.5,1.3,102.9,111.7,-8.9,144.3,11.5,30,19.9,5.1,1.8,4,0.455,0.4,1.4,0.31,1,1.3,0.75,1.1,2.9,4,1.7,0.7,0.2,1.4,2.4,1.21,32.5,35.0,49.9,6-10,C,So,WCC,25-26,26,BIG,0,High-Major,FALSE
3160,"Calvin Robins, Jr.",HWRD,0.586,0.656,95,11.9,17.2,14.6,3.4,21.5,1.4,4.1,15.2,-5.4,1.5,101.1,96.4,4.7,36.9,11.5,25,6.6,1.9,0.8,1.3,0.656,0,0,0,0.2,0.7,0.294,0.6,0.9,1.5,0.1,0.2,0.2,0.4,1.1,0.25,53.8,0.0,28.8,6-5,F,So,MEAC,25-26,26,FORWARD,0,Low-Major,FALSE
3161,Janko Bulajic,LAMAR,0.562,0.6,103.5,13.6,18.7,16.1,12.5,36,2,2.7,9.2,-1.7,1.5,103.6,100.8,2.8,95.9,11.5,29,12.1,1.6,0.6,1,0.6,0,0,0,0.3,0.8,0.435,1.4,1.8,3.2,0.9,0.4,0.3,0.8,1.4,1.13,80.0,0.0,32.0,6-10,C,Sr,SLC,25-26,26,BIG,0,Low-Major,FALSE
3162,Jonathan Powell,UNC,0.532,0.534,124.1,4.1,11.8,8.2,8,6.7,1.5,0.4,14.8,1.2,1.2,116.2,104.1,12.1,98.6,11.5,28,16.3,4.8,1.6,4.1,0.397,1.1,3.1,0.368,0.4,0.8,0.476,0.5,1.7,2.3,0.8,0.4,0.1,0.3,1.3,2.67,19.5,75.6,61.4,6-6,F,So,ACC,25-26,26,FORWARD,0,Power 5,FALSE
3163,Isaiah Abraham,GTOWN,0.528,0.508,143,6.6,10.2,8.4,6.7,6.7,1.2,1.7,14.1,0.5,1.2,118,110.5,7.6,107.5,11.5,27,19.8,5.4,1.9,4.6,0.407,0.9,2.5,0.368,0.8,1.2,0.656,1.1,1.7,2.7,0.7,0.4,0.3,0.4,1.9,1.75,26.1,54.3,57.5,6-7,GF,So,Big East,25-26,26,WING,0,Power 5,FALSE
3164,Sam Hughes,BSTN,0.556,0.536,159,4.6,10.8,7.8,8.3,11.3,1.2,0.4,17.9,-0.7,1.2,112.8,116.4,-3.6,156.9,11.5,29,30.3,9.7,3.2,8.1,0.4,2.2,5.7,0.39,1,1.2,0.8,1,2.4,3.4,1.4,0.6,0.1,1.1,3,1.27,14.8,70.4,77.7,6-6,F,Fr,Patriot,25-26,26,FORWARD,0,Low-Major,FALSE
3165,Zachary Davis,MEMP,0.493,0.448,143.1,6.3,17.6,11.9,9.4,21.8,3.2,1.6,21.8,-6.4,1.1,91.5,101.3,-9.8,103.1,11.5,24,19.4,6.8,2.3,6,0.386,0.8,2.7,0.277,1.4,1.8,0.767,1,2.8,3.9,1,1.1,0.3,1.9,1.8,0.53,30.0,45.0,55.1,6-7,F,Sr,AAC,25-26,26,FORWARD,0,High-Major,FALSE
3166,Noah Meeusen,ASU,0.549,0.504,156.5,3.3,12.9,8.1,16.6,19.6,3,1,12.3,1.6,1.2,110.3,111,-0.7,163.1,11.5,25,27,6,1.9,4.8,0.392,1.1,3.3,0.325,1.1,1.3,0.848,0.7,2.6,3.3,2.6,1.4,0.2,1.3,2,2.00,27.1,68.8,65.3,6-5,G,So,B12,25-26,26,GUARD,0,Power 5,FALSE
3167,Brandon Lee,ILL,0.586,0.438,136.1,3.8,6.3,5.2,7.2,18.4,1.8,0,20.1,-4.6,1.6,115.6,103.7,12,8.1,11.5,14,4.9,1.9,0.5,1.1,0.438,0,0.1,0,0.9,0.9,0.923,0.1,0.3,0.4,0.2,0.1,0,0.4,0.9,0.50,81.8,9.1,39.8,6-4,G,Fr,B10,25-26,26,GUARD,0,Power 5,FALSE
3168,Kymany Houinsou,L-IL,0.588,0.553,158.6,6.5,14.2,10.3,23.3,29.6,1.3,1.4,14.7,-0.6,1.6,105.2,118,-12.8,122.1,11.5,20,25.4,6,2,3.8,0.52,0.3,0.6,0.417,1.9,2.9,0.649,1.4,2.9,4.2,3,0.6,0.3,2.2,2.4,1.36,76.3,15.8,50.5,6-7,SG,Sr,A-10,25-26,26,GUARD,0,High-Major,FALSE
3169,Christian Watson,HMPTN,0.501,0.436,145,5.1,9.8,7.4,12.5,14,1.5,0.6,20.7,-1.8,1.2,103.8,107.2,-3.4,68.8,11.5,22,18.3,6.4,2.1,5.4,0.39,0.5,1.9,0.268,1.7,2.2,0.792,0.8,1.4,2.2,1.1,0.5,0.1,1,1.7,1.10,40.7,35.2,51.0,6-6,SF,Sr,CAA,25-26,26,WING,0,Mid-Major,FALSE
3170,Kyle Marshall,AF,0.38,0.412,41.2,9.4,11.3,10.3,26.4,5.1,1.7,1.7,15,6.9,0.8,104.7,112.9,-8.2,17.1,11.5,4,16.8,3.5,1.8,4.3,0.412,0,0.5,0,0,0.8,0,1.3,1.5,2.8,2,0.5,0.3,0.3,1.3,6.67,18.6,11.6,19.4,6-4,G,So,MWC,25-26,26,GUARD,0,High-Major,FALSE
3171,Samuel Ariyibi,UTECH,0.49,0.441,119.9,11.9,11.1,11.5,12.2,24.6,3.3,1.7,18.2,-4.1,1.2,96.6,103,-6.4,50.5,11.4,27,9,2.3,0.8,1.9,0.431,0,0.3,0.125,0.7,1,0.643,0.9,0.9,1.7,0.6,0.5,0.1,0.8,1.3,0.75,52.6,15.8,35.8,6-8,SF,Sr,WAC,25-26,26,WING,0,Mid-Major,FALSE
3172,Peyton White,UNR,0.539,0.486,159,7.4,7.6,7.5,4.8,8.7,0.4,0.9,17.2,-1.3,1.3,116,113.4,2.6,71.3,11.4,27,15.3,5,1.7,4,0.417,0.6,1.6,0.357,1.1,1.4,0.816,0.9,0.9,1.8,0.4,0.1,0.1,0.4,1.1,1.00,35.0,40.0,53.5,6-5,G,Fr,MWC,25-26,26,GUARD,0,High-Major,FALSE
3173,Emanuel Richards,LONG,0.511,0.467,145.3,4.1,12,8.1,8.3,14.9,2,1,20.2,-3.1,1.2,102.9,104.3,-1.4,137.8,11.4,30,25.8,9.2,3.2,7.7,0.422,0.7,2.3,0.3,2,2.7,0.732,0.8,2.4,3.2,1.1,0.9,0.2,1.6,2.2,0.69,35.1,29.9,52.2,6-4,F,Jr,BSC,25-26,26,FORWARD,0,Low-Major,FALSE
3174,Ismaila Diagne,ZAGS,0.498,0.522,92.2,12.5,29.5,21.2,2.7,24.9,1.2,9.8,10.2,-3.8,1.3,100.9,83.8,17.1,57.9,11.4,23,7.7,1.2,0.5,1,0.5,0,0,0,0.2,0.6,0.357,0.8,1.9,2.7,0.2,0.1,0.7,0.4,1.3,0.50,60.0,0.0,27.0,7-0,C,So,WCC,25-26,26,BIG,0,High-Major,FALSE
3175,Luke Butler,Cal,0,0,0,20.5,18.5,19.4,0,0,8.9,0,7.8,0,0,75.4,71.5,3.9,2,11.4,5,1.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.4,0,0.2,0,0,0,,0.0,0.0,0.0,6-4,G,Fr,ACC,25-26,26,GUARD,0,Power 5,FALSE
3176,Antwaun Massey,WIU,0.49,0.484,97.1,7.5,11.9,9.6,9,19.5,1.6,3.5,23.9,-6.7,1.2,90.7,112.9,-22.1,82,11.4,24,22.1,7.9,3.2,6.5,0.484,0,0,0,1.6,3.3,0.487,1.4,2,3.4,0.8,0.6,0.7,2,2.8,0.40,50.8,0.0,27.1,6-8,F,Sr,OVC,25-26,26,FORWARD,0,Low-Major,FALSE
3177,Dean Hogans,AMERU,0.571,0.58,125,7,12.8,9.7,4.6,12.9,1.5,0,17.4,-2.8,1.2,110.2,106.2,4.1,28.6,11.4,20,7.9,2.7,1,2.2,0.455,0.6,1.5,0.367,0.2,0.4,0.429,0.5,0.8,1.2,0.2,0.2,0,0.4,1.1,0.50,18.2,68.2,53.0,6-4,GF,Fr,Patriot,25-26,26,WING,0,Low-Major,FALSE
3178,Azmar Abdullah,BSTN,0.576,0.553,166.5,2.9,11.7,7.5,8.7,15.3,1.6,0.9,17.4,-1.7,1.2,109.1,114.9,-5.8,155.3,11.4,29,28.8,8.8,2.9,7.1,0.413,2,4.9,0.408,0.9,1.1,0.844,0.6,2.5,3.1,1.4,0.8,0.2,1.4,2.3,1.00,15.5,69.0,75.2,6-3,G,So,Patriot,25-26,26,GUARD,0,Low-Major,FALSE
3179,Isaiah Stafford,SOILL,0.481,0.434,134.8,2.8,13.4,8.2,8.6,11,1.8,0.7,21.7,-1.6,1.1,100.4,103.8,-3.4,56.9,11.4,16,19.1,7.3,2.6,6.6,0.387,0.6,3.1,0.204,1.6,2.1,0.758,0.4,2.2,2.6,0.9,0.6,0.1,0.9,1.7,1.00,31.8,47.0,55.2,6-2,G,Sr,MVC,25-26,26,GUARD,0,High-Major,FALSE
3180,Shaqir O'Neal,CSUS,0.576,0.52,154.8,7.2,12.3,9.7,4.6,12.7,1.5,3.1,13.4,-1.7,1.4,117.3,113.3,4,103.6,11.4,27,18.8,5.3,1.7,3.7,0.45,0.5,1.6,0.333,1.4,1.9,0.765,1.2,2,3.2,0.5,0.5,0.5,0.7,3,0.71,51.4,43.2,55.8,6-8,GF,Sr,BSKY,25-26,26,WING,0,Low-Major,FALSE
3181,Lucas Mari Tardio,UVM,0.526,0.495,139.3,3.2,21.6,12.7,16.9,21.7,1.4,1,16.9,-0.3,1.2,101.1,103,-1.9,122.9,11.4,25,20.1,5.2,1.7,4.2,0.406,0.8,2.5,0.302,1,1.4,0.686,0.5,3.4,3.9,2,0.5,0.2,1.4,1.7,1.43,33.3,59.5,57.6,6-6,G,Fr,AEC,25-26,26,GUARD,0,Low-Major,FALSE
3182,Cameron Boone,MZZST,0.634,0.65,121.3,10.7,15.2,12.9,2.9,20.2,0.3,10.9,9.4,-2.7,1.8,119.5,106.6,12.9,41.3,11.4,22,8.7,1.6,0.6,0.9,0.65,0,0,0,0.4,0.7,0.563,0.7,1,1.7,0.1,0,0.8,0.3,1.8,0.33,77.8,0.0,35.6,6-10,C,Jr,C-USA,25-26,26,BIG,0,Mid-Major,FALSE
3183,Shainen Carter,GASO,0.557,0.519,130.4,8.9,13.8,11.3,1.7,21.4,1.6,8.4,13.1,-4.9,1.5,104.4,106.7,-2.3,113.3,11.4,27,19.2,4.6,1.5,3,0.513,0,0.2,0.167,1.5,2.4,0.625,1.5,2.1,3.6,0.2,0.6,1.5,1.1,2.9,0.18,80.0,6.7,39.9,6-9,F,Sr,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
3184,Dalyn Brandon,SOMIS,0.566,0.56,141.5,5.3,11.1,8.3,4.7,12.7,3.1,5.6,10.7,-0.9,1.2,117.9,102.4,15.4,29.6,11.4,15,9.5,2.1,0.7,1.7,0.44,0.4,1.1,0.375,0.2,0.3,0.6,0.4,0.9,1.3,0.3,0.5,0.5,0.3,1.5,1.00,17.6,64.7,52.2,6-5,F,Sr,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
3185,Elijah Saunders,UMD,0.567,0.545,161.4,6.6,11,8.7,6.5,13,1,0.8,15.1,-1.8,1.2,116,117.3,-1.2,148.3,11.4,27,29.6,8.7,3.1,7.1,0.44,1.5,3.7,0.396,1,1.3,0.778,1.6,2.5,4.1,0.9,0.5,0.2,1.1,2.8,0.82,18.3,52.1,65.7,6-8,F,Sr,B10,25-26,26,FORWARD,0,Power 5,FALSE
3186,Mario Andrews,ALAST,0.487,0.5,113.6,19.3,22.3,20.7,1.4,18.5,1.7,0.5,10,-3.2,1.2,110.2,107.1,3.1,69.4,11.4,27,9.5,1.6,0.7,1.4,0.486,0,0.1,0.25,0.2,0.6,0.4,1.6,1.7,3.3,0.1,0.3,0,0.4,1.4,0.25,42.9,7.1,33.2,6-7,F,Sr,SWC,25-26,26,FORWARD,0,Low-Major,FALSE
3187,Pierce Spencer,UTSA,0.415,0.357,102.4,0,8.8,4.4,23.6,10.6,3.3,2.1,17.8,5.3,1,98.4,92.6,5.8,10.8,11.4,4,12.5,3.5,1.3,3.5,0.357,0,0.5,0,1,1.5,0.667,0,1,1,1.8,0.8,0.3,0.5,1.3,3.60,42.9,14.3,30.1,6-3,PG,Sr,AAC,25-26,26,GUARD,0,High-Major,FALSE
3188,Cooper Wright,COLGT,0.596,0.636,93.6,7.5,10.7,9.1,9.2,19.3,1.8,4.3,7.6,1.2,1.4,122.3,108.3,14,78,11.4,26,12.5,1.7,0.8,1.3,0.636,0,0,0,0.1,0.4,0.3,0.7,1.1,1.8,0.7,0.4,0.5,0.3,0.7,2.33,30.8,0.0,26.9,6-5,F,Jr,Patriot,25-26,26,FORWARD,0,Low-Major,FALSE
3189,Zaiden Cross,NICH,0.398,0.372,120.1,3,12.4,7.3,5.4,6.3,4.2,3,24.8,-1.4,0.9,87.3,106.9,-19.5,37.1,11.4,15,12.5,4.7,1.5,5.5,0.28,1,3.9,0.254,0.7,1,0.667,0.3,1.1,1.5,0.3,0.9,0.3,0.4,0.3,0.75,18.2,70.9,58.9,6-7,F,Sr,SLC,25-26,26,FORWARD,0,Low-Major,FALSE
3190,Todd Brogna,MERRI,0.514,0.503,136.6,5.5,16,11,18.6,20.9,2,4.3,14,0.7,1.1,101.7,103.2,-1.5,196.3,11.4,29,28.3,5.8,2,5.3,0.386,1.2,3.8,0.33,0.4,0.7,0.65,1.1,3.6,4.7,2.5,0.9,1.1,1.5,3.3,1.67,13.2,71.7,63.8,6-7,F,Jr,MAAC,25-26,26,FORWARD,0,Low-Major,FALSE
3191,Carter Kingsbury,CTDL,0.534,0.507,153.6,1.8,16.8,9,14.2,15.5,1.2,0.3,17.2,-0.4,1.2,104.6,116.6,-11.9,168.8,11.4,27,29.1,8.8,3.3,7.5,0.446,1,3.3,0.311,1.1,1.3,0.806,0.4,3.7,4.1,2,0.6,0.1,1.5,1.6,1.33,17.3,44.0,59.4,6-5,GF,Sr,SoCon,25-26,26,WING,0,Low-Major,FALSE
3192,Ja'Borri McGhee,MISST,0.523,0.495,150.8,1.3,10,5.7,16.2,15.8,1.4,0.2,20,-0.4,1.2,103.2,113.9,-10.7,122.1,11.4,28,22.4,8.1,2.9,6.9,0.417,1.1,2.7,0.4,1.4,2,0.691,0.3,2,2.3,2.1,0.6,0,1.5,1.8,1.40,29.0,39.1,57.5,6-2,G,Sr,SEC,25-26,26,GUARD,0,Power 5,FALSE
